TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:24.081299;249970735;364.4;4.8;4;5;55.55555555555555
2024-11-12 18:03:24.126353;249984126;191.4;4.6;0;5;55.55555555555555
2024-11-12 18:03:24.171447;249984489;-31.9;4.2;-2;5;51.282051282051285
2024-11-12 18:03:24.216208;249973153;-311.8;4.6;-6;5;51.282051282051285
2024-11-12 18:03:24.261379;249950638;-585.8;5.3;-14;5;51.282051282051285
2024-11-12 18:03:24.306260;249901370;-1171.4;6.8;-40;12;51.282051282051285
2024-11-12 18:03:24.351397;249821639;-1805.0;13.2;-87;20;51.282051282051285
2024-11-12 18:03:24.396207;249724881;-1978.5;19.6;-99;20;51.282051282051285
2024-11-12 18:03:24.441322;249639133;-1625.6;19.2;-65;16;51.282051282051285
2024-11-12 18:03:24.486401;249569863;-1184.9;15.0;-31;12;51.282051282051285
2024-11-12 18:03:24.531321;249530494;-681.8;11.0;-8;9;51.282051282051285
2024-11-12 18:03:24.576349;249514621;-192.1;8.6;1;8;51.282051282051285
2024-11-12 18:03:24.621663;249513228;1.1;7.7;1;8;51.282051282051285
2024-11-12 18:03:24.666508;249514937;66.4;8.4;3;8;51.282051282051285
2024-11-12 18:03:24.711373;249518736;58.3;8.1;4;9;51.282051282051285
2024-11-12 18:03:24.756802;249524856;152.7;8.6;5;9;51.282051282051285
2024-11-12 18:03:24.801499;249532105;149.7;9.2;8;10;51.282051282051285
2024-11-12 18:03:24.846290;249544927;307.6;10.1;13;10;51.282051282051285
2024-11-12 18:03:24.891487;249565149;473.6;10.8;21;12;51.282051282051285
2024-11-12 18:03:24.936461;249595676;749.3;12.1;34;13;51.282051282051285
2024-11-12 18:03:24.981784;249637798;959.6;13.4;50;16;51.282051282051285
2024-11-12 18:03:25.026787;249694234;1150.9;16.8;67;20;51.282051282051285
2024-11-12 18:03:25.071697;249752486;1246.9;19.4;77;20;51.282051282051285
2024-11-12 18:03:25.116389;249811942;1236.9;19.9;73;20;51.282051282051285
2024-11-12 18:03:25.161375;249868935;1133.1;18.8;57;17;51.282051282051285
2024-11-12 18:03:25.206280;249920526;894.6;15.2;27;9;51.282051282051285
2024-11-12 18:03:25.251430;249951795;482.9;8.1;8;5;51.282051282051285
